UNSDG,Year,State
1,2017,Needs Acceleration
1,2018,Needs Acceleration
1,2019,Needs Acceleration
1,2020,Needs Acceleration
1,2021,Needs Acceleration
1,2022,Needs Acceleration
1,2023,Needs Acceleration
2,2017,Regresses
2,2018,Needs Acceleration
2,2019,Needs Acceleration
2,2020,Needs Acceleration
2,2021,Needs Acceleration
2,2022,Needs Acceleration
2,2023,Needs Acceleration
3,2017,Needs Acceleration
3,2018,Needs Acceleration
3,2019,Needs Acceleration
3,2020,Needs Acceleration
3,2021,Needs Acceleration
3,2022,Needs Acceleration
3,2023,Needs Acceleration
4,2017,On Track
4,2018,Needs Acceleration
4,2019,On Track
4,2020,Needs Acceleration
4,2021,Needs Acceleration
4,2022,Needs Acceleration
4,2023,Needs Acceleration
5,2017,Needs Acceleration
5,2018,Needs Acceleration
5,2019,Needs Acceleration
5,2020,Needs Acceleration
5,2021,Needs Acceleration
5,2022,Needs Acceleration
5,2023,Needs Acceleration
6,2017,Needs Acceleration
6,2018,Needs Acceleration
6,2019,Needs Acceleration
6,2020,Needs Acceleration
6,2021,Regresses
6,2022,Needs Acceleration
6,2023,Needs Acceleration
7,2017,On Track
7,2018,On Track
7,2019,Needs Acceleration
7,2020,Needs Acceleration
7,2021,Needs Acceleration
7,2022,Needs Acceleration
7,2023,Needs Acceleration
8,2017,Needs Acceleration
8,2018,Regresses
8,2019,Needs Acceleration
8,2020,Needs Acceleration
8,2021,Needs Acceleration
8,2022,Needs Acceleration
8,2023,Needs Acceleration
9,2017,On Track
9,2018,On Track
9,2019,On Track
9,2020,On Track
9,2021,Needs Acceleration
9,2022,Needs Acceleration
9,2023,Needs Acceleration
10,2017,Regresses
10,2018,Needs Acceleration
10,2019,Regresses
10,2020,Needs Acceleration
10,2021,Needs Acceleration
10,2022,Needs Acceleration
10,2023,Needs Acceleration
11,2017,On Track
11,2018,Needs Acceleration
11,2019,Needs Acceleration
11,2020,Needs Acceleration
11,2021,Regresses
11,2022,Needs Acceleration
11,2023,Needs Acceleration
12,2017,Needs Acceleration
12,2018,Needs Acceleration
12,2019,Needs Acceleration
12,2020,Needs Acceleration
12,2021,Regresses
12,2022,Regresses
12,2023,Needs Acceleration
13,2017,Not Started
13,2018,Regresses
13,2019,Needs Acceleration
13,2020,Regresses
13,2021,Regresses
13,2022,Regresses
13,2023,Regresses
14,2017,Not Started
14,2018,Needs Acceleration
14,2019,Needs Acceleration
14,2020,Regresses
14,2021,Regresses
14,2022,Regresses
14,2023,Needs Acceleration
15,2017,Needs Acceleration
15,2018,Needs Acceleration
15,2019,Needs Acceleration
15,2020,Needs Acceleration
15,2021,Needs Acceleration
15,2022,Needs Acceleration
15,2023,Needs Acceleration
16,2017,Regresses
16,2018,Regresses
16,2019,Regresses
16,2020,Regresses
16,2021,Needs Acceleration
16,2022,Needs Acceleration
16,2023,Needs Acceleration
17,2017,Not Started
17,2018,Needs Acceleration
17,2019,Needs Acceleration
17,2020,Needs Acceleration
17,2021,Needs Acceleration
17,2022,Needs Acceleration
17,2023,Needs Acceleration
